symbol,full_name,asset_class,phrase,phrase_variants,naive_polarity,actual_direction,reason,confidence,status,source
ALUMINUM,Aluminum (ALI / LME),base_metals,power shortage,{},negative,bullish,Aluminum smelters shut down = less supply,0.80,active,human
ALUMINUM,Aluminum (ALI / LME),base_metals,Russia sanctions,{},negative,bullish,Russia is major aluminum supplier,0.80,active,human
ALUMINUM,Aluminum (ALI / LME),base_metals,Chinese economic stimulus,"{""China stimulus package"",""Chinese growth measures""}",positive,bearish,"Chinese stimulus typically boosts domestic aluminum production capacity and output faster than it boosts demand, leading to oversupply and price pressure.",0.78,hypothesis,system-haiku
ALUMINUM,Aluminum (ALI / LME),base_metals,renewable energy expansion,"{""clean energy growth"",""wind/solar capacity additions""}",positive,bearish,"Expanded renewable energy capacity lowers electricity costs for aluminum smelters, reducing production costs and encouraging increased output, flooding the market.",0.75,hypothesis,system-haiku
ALUMINUM,Aluminum (ALI / LME),base_metals,automotive production decline,"{""auto output drop"",""vehicle production slowdown""}",negative,bullish,"Sharp automotive production cuts force smelters offline due to insufficient demand, reducing available supply more than demand falls, tightening the market.",0.73,hypothesis,system-haiku
ALUMINUM,Aluminum (ALI / LME),base_metals,weak manufacturing PMI,"{""low manufacturing activity"",""manufacturing contraction""}",negative,bullish,"Weak global manufacturing PMI reduces aluminum production due to lower margins and mill shutdowns, tightening supply despite softer demand.",0.72,hypothesis,system-haiku
ALUMINUM,Aluminum (ALI / LME),base_metals,US dollar strength surge,"{""dollar rally"",""stronger USD""}",negative,bullish,"Strong USD reduces aluminum competitiveness for non-US buyers, depressing global demand and forcing supply-side cuts that outweigh demand destruction.",0.70,hypothesis,system-haiku
AUDUSD,Australian Dollar / US Dollar,forex,commodity rally,{},positive,bullish,Higher commodity prices support commodity-exporting AUD,0.80,active,human
AUDUSD,Australian Dollar / US Dollar,forex,China PMI falls,{},negative,bearish,"Weak Chinese demand hits commodity exports, hurts AUD",0.80,active,human
AUDUSD,Australian Dollar / US Dollar,forex,RBA rate hikes,"{""RBA tightening"",""higher Australian rates"",""RBA monetary tightening""}",positive,bearish,"Rate hikes signal economic weakness/inflation concerns rather than strength, and typically come late in cycles when growth is slowing, causing AUD to weaken as markets price in future rate cuts.",0.75,hypothesis,system-haiku
AUDUSD,Australian Dollar / US Dollar,forex,Risk-on market sentiment,"{""equity rally"",""risk appetite surge"",""equities rising""}",positive,bearish,"Risk-on environments increase demand for higher-yielding carry trades and emerging market assets, pulling capital away from the safe-haven AUD; investors rotate into riskier assets denominated in other currencies.",0.72,hypothesis,system-haiku
AUDUSD,Australian Dollar / US Dollar,forex,Australian wage growth accelerates,"{""wages rising"",""wage inflation picks up"",""higher wage growth""}",positive,bearish,"Accelerating wage growth in Australia signals cost-push inflation and reduced competitiveness, prompting RBA to cut rates preemptively to avoid stagflation, weakening AUD as rate cut odds rise.",0.71,hypothesis,system-haiku
AUDUSD,Australian Dollar / US Dollar,forex,US dollar strength,"{""stronger USD"",""USD rally"",""greenback appreciation""}",negative,bullish,"A stronger USD often reflects US economic weakness or safe-haven flows into dollars; this risk-off environment reduces demand for commodity-linked AUD more than the currency appreciation itself helps it, creating a net bullish effect on AUD/USD.",0.70,hypothesis,system-haiku
AUDUSD,Australian Dollar / US Dollar,forex,Australian unemployment falls,"{""jobless rate decline"",""lower unemployment"",""employment gains""}",positive,bearish,"Falling unemployment can trigger RBA rate cut expectations if it comes with wage stagnation, or signals the cycle is peaking; market often sells AUD on the view that tightness is unsustainable.",0.68,hypothesis,system-haiku
BRENT,Brent Crude Oil (BRN),energy,OPEC cut,{},negative,bullish,Reduced supply = price support,0.80,active,human
BRENT,Brent Crude Oil (BRN),energy,inventory build,{},positive,bearish,Supply glut depresses prices,0.80,active,human
BRENT,Brent Crude Oil (BRN),energy,weak economic data,"{""recession signals"",""GDP miss"",""economic slowdown""}",negative,bearish,"Weak economic data reduces industrial activity and transportation demand, directly lowering crude oil consumption regardless of sentiment.",0.95,hypothesis,system-haiku
BRENT,Brent Crude Oil (BRN),energy,US dollar strength,"{""strong USD"",""dollar appreciation"",""currency rally""}",positive,bearish,"Oil is priced in dollars globally; a stronger dollar makes crude more expensive for non-USD buyers, reducing demand and depressing prices.",0.92,hypothesis,system-haiku
BRENT,Brent Crude Oil (BRN),energy,geopolitical tensions escalate,"{""conflict risk"",""sanctions threat"",""Middle East crisis""}",positive,bullish,"Supply risk premium builds into prices as traders fear potential disruptions to production or shipping routes, creating upward price pressure.",0.90,hypothesis,system-haiku
BRENT,Brent Crude Oil (BRN),energy,supply disruption recovery,"{""production resumption"",""outage resolution"",""capacity restoration""}",negative,bearish,"When supply disruptions are resolved, lost barrels return to market, increasing available supply and pushing prices down despite the disruption ending.",0.88,hypothesis,system-haiku
BRENT,Brent Crude Oil (BRN),energy,refinery utilization declines,"{""refinery maintenance"",""utilization drop"",""throughput cut""}",negative,bearish,"Lower refinery utilization signals reduced demand for crude feedstock, weakening crude demand and exerting downward pressure on prices.",0.85,hypothesis,system-haiku
BRENT,Brent Crude Oil (BRN),energy,Oil Prices Spike,{},negative,bullish,Community-annotated: 3 contributors tagged this phrase as bullish.,0.60,hypothesis,phrase_annotation
BTC,Bitcoin (BTC/USD),crypto,exchange hack,{},negative,bearish,Reduces confidence in crypto infrastructure,0.80,active,human
BTC,Bitcoin (BTC/USD),crypto,halving,{},neutral,bullish,Supply issuance cut 50% — historically precedes bull run,0.80,active,human
BTC,Bitcoin (BTC/USD),crypto,rate hike,{},positive,bearish,Risk-off rotation out of speculative assets,0.80,active,human
BTC,Bitcoin (BTC/USD),crypto,institutional adoption announcement,"{""major company bitcoin adoption"",""institutional bitcoin allocation"",""corporate treasury purchase""}",positive,bearish,"Large institutional announcements often signal late-cycle entry and represent capitulation of the last skeptics, typically occurring near local tops before corrections.",0.72,hypothesis,system-haiku
BTC,Bitcoin (BTC/USD),crypto,all-time high price,"{""new ATH"",""record high reached"",""price record broken""}",positive,bearish,"ATHs trigger profit-taking, resistance from underwater holders wanting breakeven exits, and exhaustion of new capital; historically followed by 20-50% retracements.",0.71,hypothesis,system-haiku
BTC,Bitcoin (BTC/USD),crypto,mainstream media hype,"{""bitcoin on front page"",""news coverage surge"",""celebrity endorsement""}",positive,bearish,Peak retail FOMO and mainstream attention historically coincide with market tops; media saturation signals exhaustion of new buyer demand.,0.68,hypothesis,system-haiku
